,SRX3159653,SRX3159654,SRX3159655,SRX3159656,SRX3176780,SRX3176781,SRX3176782,SRX3176783,SRX3176784,SRX3176785,SRX3176786,SRX3176787,SRX3176788,SRX3176798,SRX3176799,SRX3176800,SRX3176801,SRX3176802,SRX3176803,SRX3176804,SRX3176805,SRX3176806,SRX3159657,SRX3159658,SRX3159659,SRX3159660,SRX3176789,SRX3176790,SRX3176791,SRX3176792,SRX3176793,SRX3176794,SRX3176795,SRX3176796,SRX3176797,SRX3176807,SRX3176808,SRX3176809,SRX3176810,SRX3176811,SRX3176812,SRX3176813,SRX3176814,SRX3176815
Phosphate-starvation,-0.30170281344276595,0.3017028134427658,0.01324613360571527,0.6145951952312381,1.9534076318009288,-0.3362073404168959,-2.1896465082532544,-2.532547194446311,-1.430553716541319,0.48747187941255005,2.1784939921882076,-1.718444552982657,-2.5372989676274917,10.920470996445838,7.178670840885028,4.678048654267384,1.7515534039423009,2.54776140530292,2.9747409370612656,2.468755196743195,-1.3890756584597996,-2.4098551530906946,-2.797914504973489,-2.3487552949795423,-3.923476132492663,-3.8585665680367414,-6.345180087504483,-8.105161641564662,-5.743808433098965,-3.7167901308029174,-0.8577300281667883,0.0741952839884959,2.326736967137521,3.7257187511604366,16.56389690487981,-5.857294853032333,-6.181234066993134,-5.596730990433033,-5.253676016535987,13.344906665448137,12.924917551985708,14.809280486277537,16.07684128298045,17.727107578311415
IdiB,0.2347403413075907,-0.2347403413075927,-2.017330997203647,-2.3946097818771315,4.147853562741232,4.631774071416115,4.322779063917386,3.2972397719498487,2.479897496016096,1.7331344619178612,1.1801649943189816,-0.2195909773102957,-0.5382310694477099,-1.3766249222602216,1.7479726372308884,1.0998618741770891,1.6123367958841814,1.7327665552438454,2.5217803738341793,1.7798838480706427,-0.2475932292181281,2.3090470557587874,-4.252031995295753,-4.702333736165861,-4.370778955990182,-4.142437518731942,-3.0174748205171413,-3.46272919458889,-1.923856497888297,-2.8158934651373535,-2.6229158256752694,-2.8291493452723397,-2.5951615893152136,-2.623638924569625,6.075001562924591,-5.959659661296268,-5.232037813006048,-5.11122352415028,-4.668456663887712,6.381246653175218,7.298763368430024,6.891483751594279,7.576492436376018,7.9633930924126926
RpaB,-0.04225919410340502,0.042259194103405104,0.18018153775014029,-0.043696346517828444,0.5186821519231702,-0.9253266710967917,-0.39071892750030335,-0.29971406204543,-1.7186239258505154,-2.8954269854068695,-4.144280435908573,-3.887641014434586,-3.7278562963934183,2.4571384414866952,0.4940012412314987,0.03111700476552348,-1.6425598742493837,-3.054164801466936,-4.2139684416519305,-4.717703310049876,-4.879191553921201,-6.094102862184603,4.049478800938675,3.5713653739713904,2.455397224457217,1.7423026416704073,3.244230162074607,3.774267309021362,3.0331195121421106,2.0946460025581017,0.24549747057582322,-2.471809485501942,-4.123635141679408,-5.008028563731713,-8.839276015049755,5.574733508763722,6.048652164935006,5.738748519399149,3.477078838130987,-3.767123886349061,-4.616338425494203,-4.973279888248836,-6.044027589736975,-1.6446261515912046
CmpR,0.3734504003042298,-0.37345040030422955,1.3982978940094128,-1.0092323984327853,6.636905893720217,6.328309794561196,1.7940119536702746,-0.5567599040228611,-5.382358029890226,-6.807521165202492,-8.288906212317496,-12.634478756684587,-11.301925888167611,5.288411761408849,4.87524943283776,3.133576697707689,-2.075714491622667,-6.5878645257933055,-5.961657118730413,-5.821633155209616,-9.78928102563295,-7.760318580414891,-0.9862591970589331,0.04158259146127122,-1.6505967807197277,-1.057255272924531,6.547032514251156,7.720375747629485,5.675219233931231,1.0153022294593876,-3.7992562436359005,-5.860737684376229,-5.307711941374078,-4.632310563006207,2.056590740061057,-6.680425957599238,-5.834329985052051,-6.475436885934337,-8.957586103068085,-1.9202519974688754,0.30938175361013864,0.8910998692594987,-1.005871865070097,3.389405483564038
Phototaxis signaling,0.019418540064456737,-0.01941854006445665,0.7632108707072152,0.34242219168286125,0.25543793276133253,-1.7092476180773153,-9.606207687205782,-13.13665326781535,-13.005352304902843,-10.599556087782693,-9.883528454252437,-12.49648827070114,-12.681745203174453,2.1759175952501377,-1.950815642285418,-7.536791526583299,-9.774235239302254,-7.261168605936979,-4.914989641327647,-7.482697131699812,-10.263389096856683,-9.784941544473934,1.5372386192277823,1.3937564996622327,-0.5007685576558263,0.43539547488715963,0.9108835575026675,0.14501716918121843,-1.633965641810772,-3.8493797465489785,-4.501053230602631,-4.158376714895708,-3.4620296621745776,-5.659369950490485,3.9375871190328136,2.5183767495632843,-0.8699503600587521,-3.8821030905886666,-8.406671440788214,0.5135103719320046,-0.3145823350992093,-0.044273757505759126,-1.7398810567773673,1.8255584861003036
Phage-related,-0.31703324182260684,0.3170332418226071,1.4029288573465521,1.4625507964286726,0.7017970925054535,2.5067432913086707,2.5310605493256877,2.1691169129553756,3.619240484466367,2.8470228279676624,3.6139761084118622,3.931660260170425,2.951391753267095,1.6525863492780146,2.2870137884717963,3.5906664313631236,3.582406997314177,4.742890466259821,3.1866861967234916,4.096886586231807,1.9309382851520438,2.095121471326893,-7.701877626346508,-6.976647355653657,-5.63082811940045,-6.325055925988391,-4.722588575089518,-3.4124371600534467,-4.046767971335272,-4.446611442668294,-3.8218983029540397,-2.4014064723088593,-0.7862977957168157,0.6632209721090006,7.720820678432032,12.2434816885049,13.150451924307568,13.018387493222493,11.935556274068029,4.22803963579342,4.368354683947574,5.028911141715217,6.372141488043227,4.233269149837849
CysR,-0.10593249599146723,0.10593249599146787,-2.827836422029522,1.0840016046025078,-7.481637901215464,-9.756469986758017,-11.413520810670585,-11.58127706350659,-13.05370261768134,-12.780082410701196,-12.01502836350007,-14.650904440203787,-14.804654857015233,1.118328935464469,-2.518838320787332,-6.926496417396754,-11.381141362353425,-11.670208623791911,-11.095007295856727,-12.005930327392873,-14.31201355816056,-14.412654219121535,-8.292364894052987,-7.527424577241238,-4.96068452464286,-9.956134685575819,-8.448627948079412,-11.336533815096093,-13.218814907973009,-13.487212961003422,-14.416549411672278,-14.113832910219386,-15.077402354832746,-13.741938957868946,-11.553346042999733,-13.541746592407561,-14.44256212403283,-15.886764308257474,-16.50283901967637,-11.897286127292094,-9.967157635072114,-8.692555878616092,-11.61675342643961,-9.42760672678802
Putative/ ion transporting system,-0.07467783658411736,0.07467783658411617,2.0888101109894515,2.246799025858007,0.5367597865830105,2.373250270785383,4.239792976638758,5.802257963016457,6.862244138093429,6.237836650641928,5.437135507526701,1.8428127358187378,1.248339905554567,0.018843505237436223,2.855638487374181,4.174493466001039,5.776160488986603,7.106546672867521,8.391207283913548,4.540231528826692,2.5478469412457785,-0.21880175531242874,-3.2872768091393345,-2.7940529960656764,1.6496264245431196,2.6432618588348946,3.534188839187388,4.308709660011129,4.724518555927949,6.725497301416077,7.698567187520825,6.236572805612151,4.755528933090196,1.231867563648229,3.1616467592394044,6.2404591781715935,7.874472913933484,6.952421783768432,5.6613260781356605,7.90891455249224,6.549430201339289,5.20479388481129,4.760267277877946,3.8137389805492212
Translation machinery,-0.5546759902161535,0.5546759902161524,-4.521788830717092,-2.5118671362996414,-7.2846081511752026,-1.8395758041465173,-2.2126822564568993,-5.658387657651234,-10.728655786473224,-9.73833529716068,-7.8912261065938685,-4.16345502574018,-6.167676414694547,1.5733221138424485,1.8026855075745232,-0.6621588712043105,-9.385517993061029,-13.096490345774253,-13.279048051776124,-12.261250836422967,-7.377314702174047,-9.096669170258368,1.0145527341332494,1.4900484219053098,-0.6685430345006825,1.0238325880350203,4.2012295494139185,6.494616423150156,4.450810170103975,3.2119392479436057,0.6095773127589474,-2.0280173893628684,-3.6723737372028733,-4.049399139204022,-32.81525484069907,4.492988221994882,6.944551833033285,7.015822396538878,1.8534634167282116,-25.81399165029606,-29.15191514872059,-30.14623518136387,-33.630105790415996,-33.65942481898028
Putative/ phosphate-related,-0.035026840596783966,0.03502684059678416,1.6918479489809002,1.940388189991754,1.2042715007772835,1.002235817706309,3.106294148194775,5.3247540485182325,7.729307557705666,8.693996350767454,6.7135324820261575,5.842065870774708,7.65767993236771,2.040276386488614,1.9185644431338884,4.683367488451198,6.629828087563725,7.7060457588804585,6.604345219484131,5.632582081014934,4.5038273681159,5.952131508383414,0.6239722320424997,0.3603084402798413,0.830798242697151,-0.3053531334651601,0.797558213628158,1.195566258707639,1.7321080646464229,1.0295548492205708,2.9553124101416075,3.8538930970916248,2.565769353606366,2.116823619034205,7.184244561466474,1.5398106378904153,1.850129189450604,3.1098017862653022,4.627747274408741,5.318786799191229,6.4961411668894655,8.368524513990659,4.2662504059384005,4.925987953107852
NtcA-1,0.2793132368563621,-0.2793132368563607,2.384652459900969,4.043727639021001,8.821431737244964,9.097612585982311,11.21968925288931,5.099883898573282,1.5869424764209432,2.4837102682888816,2.532619312793579,2.0832718425162744,-2.358928501867042,11.486249872854621,8.604125678165756,7.272395518177958,2.4836390479331025,-0.8530870558335192,-1.333794723829911,0.7155853752019115,1.8747836144645076,1.475339723227234,8.908736255939683,9.722799468241746,6.016678572664808,10.35883303732929,5.307323798273235,5.347533824217056,4.551571396506473,4.023798903611198,0.5440324640777326,-1.0007081786804086,-2.003193496879384,-1.6415694105935028,6.832486168225755,10.349380791672058,9.290937372585768,8.280742820810843,7.1584693676215,5.94572447616257,7.742548469908221,8.123365147979476,4.199033913286885,4.730922290452897
RpaA/RpaB,-0.023551164282949046,0.023551164282949538,-1.0578264243715996,-0.897170510808406,-0.27789147624599525,-0.13590955953120626,-0.7670884860578762,-0.05408130236970354,0.990932606259662,1.6520263861462223,2.4807632142802123,3.506519548644381,3.481462439323807,0.7789867790404216,0.2170036415320133,-0.10391073586621072,1.1680558645154908,2.12880665616216,1.347423233484655,2.6564955455590673,4.691039107607293,4.503786385578764,0.906729005702614,1.351047370088667,1.306534052817031,1.7556237726933268,1.404867845902485,1.467281622146713,0.18328631006806623,0.5610867847279419,1.5253119414167384,2.2271098992491685,2.433789991405697,1.8207446965617675,-5.099333070008484,-2.161541031084253,-3.137342618961408,-3.9363915040428687,-3.1558663868214474,0.261665088780499,-2.36217855185589,-1.683081012575767,-2.107290070834641,-5.435209789831181
purine metabolism,-0.26166553852045227,0.26166553852045216,3.334551136542356,4.009067359708028,1.2137749509085074,5.842426966035442,9.88035873211232,9.90278905951993,11.588345527110327,10.125831019912628,5.8156770107758655,3.4081490304924373,3.3178111170540703,2.9075643784679848,7.6966405590920335,10.60950804140504,12.660183026314062,14.373243488867306,14.145137205608208,6.238593201182011,1.4812249361821104,-0.4520567563605635,2.68130097218203,1.807894168755284,1.4665190196062992,1.721269486714044,1.2498780062720947,1.5936004443947374,0.4438107055768016,0.8993520064097462,0.3861435267371306,0.17545775706513111,-3.098699816068231,-8.365504968475133,-14.350267631348716,-1.10589568704895,3.736566192604171,6.54893799117974,9.972012055133945,-9.059788017235908,-9.916091715515021,-11.993854001123184,-14.537216590007443,-16.546296675189755
signal trans region pnal,0.06206461585858907,-0.06206461585858853,0.3187985965782626,0.23593493444376518,0.8564311914534919,3.289318654706811,4.7747002185559895,4.22468573380963,4.8161194458289955,6.8377555228193145,6.934198486673446,10.963795685595286,14.287402742065863,2.4664053577314653,3.8743013253730614,5.22135375104655,4.590955484960445,6.083822724345861,6.264000109094348,8.947472803324796,13.36417463204829,15.150766750135224,-3.867621925922285,-3.7913509297923214,-3.3316768618284396,-4.132148513669009,1.254865724917709,0.23482463356415068,-0.014105476615153087,-2.1494330169421674,-0.9999359204651428,1.3061549524387843,0.7861480814949449,4.1204267724889965,-3.4191128847376655,-3.621618576609394,-3.737347017407627,-3.8871914621213572,-2.9136131515747956,-3.3198825889673627,-3.475541156097279,-1.4423464398142847,-1.8341398298860374,-1.2923405874832523
Heat-shock response,-0.2672427983799809,0.26724279837998033,-1.6868847266129703,-0.937337415083713,-1.3915435659106294,18.10139315110833,24.892641415059106,21.080531513604505,15.756052568893214,12.44949895375491,11.519324690629924,15.668809160522676,17.91933172236388,1.3545010200014511,19.480250069161816,21.38138524377353,15.026006783205744,11.694666694918212,6.008969571439231,4.031456420879443,5.635579777572615,6.630734405322937,0.05001821073898302,-0.30091384458345494,1.627732785284015,2.1380045239255168,2.104207941303233,8.384429473589107,15.942024808411379,19.152787204613862,16.212819935268097,11.054755444722076,11.989398667716483,13.821627462166546,-13.627786981344826,-0.4975736671815333,12.133708859591074,18.93233263438824,21.902368111103105,-9.200516359810875,-11.25450674125148,-12.331770878886633,-11.67898354959085,-11.81850651051467
Carboxysome,-0.20505493171681644,0.20505493171681635,3.944101241504959,1.6612164210217506,1.6456994594255439,2.543856827910839,1.9080966987189911,1.9524755592416385,0.07589735705036393,-1.0071362656305438,-1.4856754513413293,0.9290365101149975,-0.6825340427640326,4.512320576146568,3.261327709192055,0.5397778066738287,-3.3194784563915474,-3.0362872369741107,-5.227109851791725,-5.93068143794684,-4.365266866811367,-4.864265014445181,5.742057279763902,6.211306554784959,3.223352086473539,2.9601133878767296,4.164332719399604,4.569101974507751,2.617844427754452,0.10850759744276711,-0.6484395492242035,-1.8099528184744436,-2.4367722862956156,-2.851355617760493,-12.052362953921358,4.50650092472186,4.31749758118652,3.162323988212726,2.4504480707942107,-11.904294921224666,-12.13071732501024,-11.311052294016314,-12.971048735643894,-9.326589932709895
PS,-0.05797731897119885,0.057977318971197275,-2.5435942574252595,0.1590095062707391,-1.480874058755124,2.2141911180927956,1.6663929924028993,-3.3854305795220108,-9.510154091656968,-12.985049902549527,-14.256772315246456,-7.879274802343603,-11.134464514100037,-1.271570014306053,-0.11806522529479506,-1.531369802068072,-7.697965789469991,-15.089468989518975,-20.907793746809897,-26.251715814081084,-20.695039981241234,-19.050936035243357,0.648300871224144,-0.0407758058046111,-3.3311026809112603,-1.7248057682518103,-3.372847966219312,-1.9903986690044133,-5.585035230533127,-8.04095057083274,-12.831260494824393,-17.509751770517383,-20.34435973136789,-21.271662801045405,-35.36637595407524,-1.9514778033086657,-1.1024765090763475,-1.86337787689199,-8.537483639098223,-36.60052270236389,-37.35927213317229,-36.60487831916992,-38.99936094246951,-38.367279714377354
dna repair,-0.20104911096350922,0.20104911096350866,7.840342846620812,7.925754938151766,2.112788623945343,4.319542406575572,9.498723657611533,12.817319329579968,16.25696950567967,17.395235139932986,16.67880956306436,13.829410239701485,13.006005485950324,5.76157700155253,7.841179319202746,11.0425036680092,16.713968901278836,18.335417801112953,19.14115839567638,18.320504152024284,15.54986649513666,11.252867063609221,-0.9934809329922168,-1.3133216121267384,3.606377280939942,2.7282511640009366,5.813239220316619,7.364534483202722,8.926333454615925,14.12761916430073,16.98784260333641,18.021611522652925,17.112801157754987,15.221492977267857,5.046010602603487,7.543822117931389,10.07739505071714,11.021017314550653,14.059283824196143,2.008025513054999,1.9808570932783223,1.1022143042891854,1.4571603410377199,1.599289371699908
oxidative-stress tolerance,0.1489931575935083,-0.1489931575935087,-1.3446361141678114,-0.5927076616392113,-0.7372130774859744,2.745405532202338,2.3492153755106773,2.60750027667154,1.1797524542411115,1.5689666732270375,1.5531668321749268,2.6400554766608653,4.618041329269351,-0.8655306538359236,2.3842039671348614,1.8152109597351727,0.2609006597756408,-2.131015265985389,-0.10590002098266815,-0.5114098301434037,-0.39512477631723275,-0.8730271561194995,5.001672373080498,6.008991942613478,3.4559784846694614,3.6285686938328414,2.8621698733446794,4.352353585642934,5.473757216434285,5.152606215315133,4.067256549193003,4.66020022521696,4.772775637691515,6.2596187761316715,2.5886209677494807,4.679946518843369,6.0124447970859825,5.776372955963892,4.068084623966615,5.6417957530993315,4.150366292937337,5.128173475203464,2.4092885085482076,4.934219976404905
Cyt c metabolism,-0.18015700974567622,0.18015700974567636,3.0750372852437016,3.0044360949690234,-2.501136837634461,1.970799742695092,7.361119249343143,8.827802199618294,6.290577475347753,1.1603711574346653,-4.089935642036016,-6.427293254171495,-7.651791608882279,2.3520529209766883,4.9538259102826485,10.189488135789762,9.8423310277546,7.846037936806296,2.0496676868141,-3.619970965618204,-7.516823704287491,-8.210516161807412,9.358591648161854,9.927821426065108,13.199541404064831,13.210407487151745,12.188183385538302,13.789156364288004,12.152018084942364,13.813765521568541,13.148813708036824,10.578911051423031,5.723882009948358,0.8511330579354754,-0.9052703785426512,4.677687473920116,5.8759965749791085,8.039023784665737,11.123609653827014,-0.16834635006218068,0.13214720355006015,-1.329864337182031,1.997458156654901,3.3219644369533405
ci transport,0.11227363281682945,-0.11227363281682878,-3.6730392666966614,-4.0348595994588194,1.7113444987171584,1.2076684141321405,-2.8907994010892724,-7.310382003850347,-14.028634925179402,-16.740294074152096,-17.840882014608695,-17.286106973268616,-19.843827146742566,0.8261422105905474,2.9147354321491923,-1.655016856200394,-9.338203016761165,-14.26923107980911,-16.72958007261964,-19.05417580946001,-19.209750006263018,-19.270605298360717,-6.908351697871639,-8.173045777891733,-7.65950301205923,-5.751525005887895,4.90820852291658,2.872278256628401,-1.2499953106227224,-6.911555789941403,-12.584573414072628,-16.209622216259927,-18.455201753741953,-19.879139682251303,-18.900270008177916,-1.8724273300738574,-1.881217387927875,-4.736386901960673,-8.586820451912828,-14.400178397913855,-16.581596746515814,-14.618871008264335,-13.280954382704442,-15.217341972107919
Fur2,0.049992637044211384,-0.04999263704421058,2.8628488536755547,2.0216225656174682,0.18135116222889341,5.128912450535986,8.236648640180725,7.181922990647896,6.535155669811437,6.079787575151496,6.047500722399179,6.146705997489699,10.351465504580348,4.8791435847550915,10.421833000295836,11.645031070433822,5.592045985046025,3.339538493427924,4.455216200269259,4.611665181248962,5.392911609300185,5.59258169527672,-1.4393384694438272,0.29849958219179534,-1.6886616812104969,-1.5108738102244539,-4.087485381193776,-1.987249076517933,1.559940662246338,0.5479544371906631,0.9347685886490511,2.7293003229094475,1.559387586872933,2.045254250216032,-1.10325143021372,-0.6691562329084776,3.5520485890906697,7.072848499729657,9.650805959843886,1.5527993152191102,0.3223679476077721,0.07057931307444776,-1.9098088211198423,-1.8143089292690822
NtcA-2,0.05074766524775577,-0.05074766524775559,0.12693382269604023,0.024256617173731718,11.108801762656693,21.21196520057265,19.250971367985002,11.252904315441404,7.3811926187533965,6.768675405147224,8.086718025688599,5.193534054384967,3.156830464737508,13.076991833667893,14.564147965336836,11.383966936810832,7.432277242883561,6.139218108947919,6.940636072489804,7.395462833370161,6.366921560612125,5.7945147108128054,7.257698565678392,6.520759924331622,9.590273469582836,11.96241215051824,6.494476898847247,13.990058779540698,17.00799955486391,13.133331236495485,5.636992354063992,4.520091701016216,1.9768970566582762,0.570935141592156,7.006497418241442,9.6219779473749,12.308510433209474,10.91219134496343,6.864042022386443,10.051203278775699,10.10594757926347,9.2083927727365,4.521072474855363,6.1058291676357
