,0
SYNPCC7942_RS02555,Synpcc7942_0503
SYNPCC7942_RS02560,Synpcc7942_0504
SYNPCC7942_RS02565,Synpcc7942_0505
SYNPCC7942_RS02570,Synpcc7942_0506
SYNPCC7942_RS02575,Synpcc7942_0507
SYNPCC7942_RS02580,Synpcc7942_0508
SYNPCC7942_RS02585,Synpcc7942_0509
SYNPCC7942_RS02590,Synpcc7942_0510
SYNPCC7942_RS02595,Synpcc7942_0511
SYNPCC7942_RS02600,Synpcc7942_0512
SYNPCC7942_RS02605,Synpcc7942_0513
SYNPCC7942_RS02610,Synpcc7942_0514
SYNPCC7942_RS02615,Synpcc7942_0515
SYNPCC7942_RS02620,Synpcc7942_0516
SYNPCC7942_RS02625,Synpcc7942_0517
SYNPCC7942_RS02630,Synpcc7942_0518
SYNPCC7942_RS02635,Synpcc7942_0519
SYNPCC7942_RS02640,Synpcc7942_0520
SYNPCC7942_RS02645,Synpcc7942_0521
SYNPCC7942_RS02655,Synpcc7942_0522
SYNPCC7942_RS02660,Synpcc7942_0523
SYNPCC7942_RS02665,Synpcc7942_0524
SYNPCC7942_RS02670,Synpcc7942_0525
SYNPCC7942_RS02675,Synpcc7942_0526
SYNPCC7942_RS02680,Synpcc7942_0527
SYNPCC7942_RS02685,
SYNPCC7942_RS02690,Synpcc7942_0529
SYNPCC7942_RS02695,Synpcc7942_0530
SYNPCC7942_RS02700,Synpcc7942_0531
SYNPCC7942_RS02705,Synpcc7942_0532
SYNPCC7942_RS02710,Synpcc7942_0533
SYNPCC7942_RS02715,Synpcc7942_0534
SYNPCC7942_RS02720,Synpcc7942_0535
SYNPCC7942_RS02725,Synpcc7942_0536
SYNPCC7942_RS02730,Synpcc7942_0537
SYNPCC7942_RS02735,Synpcc7942_0538
SYNPCC7942_RS02740,Synpcc7942_0539
SYNPCC7942_RS02745,Synpcc7942_0540
SYNPCC7942_RS02750,Synpcc7942_0541
SYNPCC7942_RS02755,
SYNPCC7942_RS02760,Synpcc7942_0542
SYNPCC7942_RS02765,Synpcc7942_0543
SYNPCC7942_RS02770,Synpcc7942_0544
SYNPCC7942_RS02775,Synpcc7942_0545
SYNPCC7942_RS02780,Synpcc7942_0546
SYNPCC7942_RS02785,Synpcc7942_0547
SYNPCC7942_RS02790,Synpcc7942_0548
SYNPCC7942_RS02795,Synpcc7942_0549
SYNPCC7942_RS02800,Synpcc7942_0550
SYNPCC7942_RS02805,Synpcc7942_0551
SYNPCC7942_RS02810,Synpcc7942_0552
SYNPCC7942_RS02815,Synpcc7942_0553
SYNPCC7942_RS02820,Synpcc7942_0554
SYNPCC7942_RS02825,Synpcc7942_0555
SYNPCC7942_RS02830,Synpcc7942_0556
SYNPCC7942_RS02835,Synpcc7942_0557
SYNPCC7942_RS02840,Synpcc7942_0558
SYNPCC7942_RS02845,Synpcc7942_0559
SYNPCC7942_RS02850,Synpcc7942_0560
SYNPCC7942_RS02855,Synpcc7942_0561
SYNPCC7942_RS02860,Synpcc7942_0562
SYNPCC7942_RS02865,Synpcc7942_0563
SYNPCC7942_RS02870,Synpcc7942_0564
SYNPCC7942_RS02875,Synpcc7942_0565
SYNPCC7942_RS02880,Synpcc7942_0566
SYNPCC7942_RS02885,Synpcc7942_0567
SYNPCC7942_RS02890,Synpcc7942_0568
SYNPCC7942_RS02895,Synpcc7942_0569
SYNPCC7942_RS02900,Synpcc7942_0570
SYNPCC7942_RS02905,Synpcc7942_0571
SYNPCC7942_RS02910,Synpcc7942_0572
SYNPCC7942_RS02920,Synpcc7942_0573
SYNPCC7942_RS02925,Synpcc7942_0574
SYNPCC7942_RS02930,Synpcc7942_0575
SYNPCC7942_RS02935,Synpcc7942_0576
SYNPCC7942_RS13930,Synpcc7942_0577
SYNPCC7942_RS02940,Synpcc7942_0578
SYNPCC7942_RS02945,Synpcc7942_0579
SYNPCC7942_RS02950,Synpcc7942_0580
SYNPCC7942_RS02955,Synpcc7942_0581
SYNPCC7942_RS02960,Synpcc7942_0582
SYNPCC7942_RS02965,Synpcc7942_0583
SYNPCC7942_RS02970,Synpcc7942_0584
SYNPCC7942_RS02975,Synpcc7942_0585
SYNPCC7942_RS02980,Synpcc7942_0586
SYNPCC7942_RS03010,Synpcc7942_0587
SYNPCC7942_RS03015,Synpcc7942_0588
SYNPCC7942_RS13680,
SYNPCC7942_RS03020,
SYNPCC7942_RS03025,Synpcc7942_0590
SYNPCC7942_RS03030,Synpcc7942_0591
SYNPCC7942_RS03035,Synpcc7942_0592
SYNPCC7942_RS13615,Synpcc7942_0593
SYNPCC7942_RS03045,Synpcc7942_0594
SYNPCC7942_RS03050,Synpcc7942_0595
SYNPCC7942_RS03055,Synpcc7942_0596
SYNPCC7942_RS03060,Synpcc7942_0597
SYNPCC7942_RS03065,Synpcc7942_0598
SYNPCC7942_RS03075,Synpcc7942_0599
SYNPCC7942_RS03080,Synpcc7942_0600
SYNPCC7942_RS03090,Synpcc7942_0602
SYNPCC7942_RS03095,Synpcc7942_0603
SYNPCC7942_RS03100,Synpcc7942_0604
SYNPCC7942_RS03105,Synpcc7942_0605
SYNPCC7942_RS03110,Synpcc7942_0606
SYNPCC7942_RS03115,Synpcc7942_0607
SYNPCC7942_RS03120,Synpcc7942_0608
SYNPCC7942_RS03125,
SYNPCC7942_RS03130,Synpcc7942_0610
SYNPCC7942_RS03135,Synpcc7942_0611
SYNPCC7942_RS03140,Synpcc7942_0612
SYNPCC7942_RS03145,Synpcc7942_0613
SYNPCC7942_RS03150,Synpcc7942_0614
SYNPCC7942_RS03155,Synpcc7942_0615
SYNPCC7942_RS03160,Synpcc7942_0616
SYNPCC7942_RS03165,Synpcc7942_0617
SYNPCC7942_RS03170,Synpcc7942_0618
SYNPCC7942_RS03175,Synpcc7942_0619
SYNPCC7942_RS03180,Synpcc7942_0620
SYNPCC7942_RS03185,Synpcc7942_0621
SYNPCC7942_RS03190,Synpcc7942_0622
SYNPCC7942_RS03195,Synpcc7942_0623
SYNPCC7942_RS03200,Synpcc7942_0624
SYNPCC7942_RS03205,Synpcc7942_0625
SYNPCC7942_RS03210,Synpcc7942_0626
SYNPCC7942_RS03220,Synpcc7942_0627
SYNPCC7942_RS03225,Synpcc7942_0628
SYNPCC7942_RS03230,Synpcc7942_0629
SYNPCC7942_RS03235,Synpcc7942_0630
SYNPCC7942_RS03240,Synpcc7942_0631
SYNPCC7942_RS03245,Synpcc7942_0632
SYNPCC7942_RS03250,Synpcc7942_0633
SYNPCC7942_RS03255,Synpcc7942_0634
SYNPCC7942_RS03260,Synpcc7942_0635
SYNPCC7942_RS03265,Synpcc7942_0636
SYNPCC7942_RS03270,Synpcc7942_0637
SYNPCC7942_RS03275,Synpcc7942_0638
SYNPCC7942_RS03280,Synpcc7942_0639
SYNPCC7942_RS03285,Synpcc7942_0640
SYNPCC7942_RS03290,Synpcc7942_0641
SYNPCC7942_RS03295,Synpcc7942_0642
SYNPCC7942_RS03300,Synpcc7942_0643
SYNPCC7942_RS03305,Synpcc7942_0644
SYNPCC7942_RS03310,Synpcc7942_0645
SYNPCC7942_RS03315,Synpcc7942_0646
SYNPCC7942_RS03320,Synpcc7942_0647
SYNPCC7942_RS13685,Synpcc7942_0648
SYNPCC7942_RS03325,Synpcc7942_0649
SYNPCC7942_RS03330,Synpcc7942_0650
SYNPCC7942_RS03335,Synpcc7942_0651
SYNPCC7942_RS03340,Synpcc7942_0652
SYNPCC7942_RS03345,Synpcc7942_0653
SYNPCC7942_RS03350,Synpcc7942_0654
SYNPCC7942_RS03355,Synpcc7942_0655
SYNPCC7942_RS03360,Synpcc7942_0656
SYNPCC7942_RS03365,Synpcc7942_0657
SYNPCC7942_RS03370,Synpcc7942_0658
SYNPCC7942_RS03375,Synpcc7942_0659
SYNPCC7942_RS03380,Synpcc7942_0660
SYNPCC7942_RS03385,Synpcc7942_0661
SYNPCC7942_RS03390,Synpcc7942_0662
SYNPCC7942_RS03395,Synpcc7942_0663
SYNPCC7942_RS03400,Synpcc7942_0664
SYNPCC7942_RS03405,Synpcc7942_0665
SYNPCC7942_RS03410,Synpcc7942_0666
SYNPCC7942_RS03415,Synpcc7942_0667
SYNPCC7942_RS03425,Synpcc7942_0669
SYNPCC7942_RS03430,Synpcc7942_0670
SYNPCC7942_RS03435,Synpcc7942_0671
SYNPCC7942_RS03440,Synpcc7942_0672
SYNPCC7942_RS03445,Synpcc7942_0673
SYNPCC7942_RS03450,Synpcc7942_0674
SYNPCC7942_RS03455,Synpcc7942_0675
SYNPCC7942_RS03460,Synpcc7942_0676
SYNPCC7942_RS03465,Synpcc7942_0677
SYNPCC7942_RS03470,Synpcc7942_0678
SYNPCC7942_RS03480,Synpcc7942_0679
SYNPCC7942_RS03485,Synpcc7942_0680
SYNPCC7942_RS03490,Synpcc7942_0681
SYNPCC7942_RS03495,Synpcc7942_0682
SYNPCC7942_RS03500,Synpcc7942_0683
SYNPCC7942_RS03505,Synpcc7942_0684
SYNPCC7942_RS03510,Synpcc7942_0685
SYNPCC7942_RS03515,
SYNPCC7942_RS03520,Synpcc7942_0686
SYNPCC7942_RS03525,Synpcc7942_0687
SYNPCC7942_RS03530,Synpcc7942_0688
SYNPCC7942_RS03535,Synpcc7942_0689
SYNPCC7942_RS03540,Synpcc7942_0690
SYNPCC7942_RS13620,Synpcc7942_0691
SYNPCC7942_RS03550,Synpcc7942_0692
SYNPCC7942_RS03555,Synpcc7942_0693
SYNPCC7942_RS03560,Synpcc7942_0694
SYNPCC7942_RS03565,Synpcc7942_0695
SYNPCC7942_RS03570,Synpcc7942_0696
SYNPCC7942_RS03575,Synpcc7942_0697
SYNPCC7942_RS03580,Synpcc7942_0698
SYNPCC7942_RS03585,Synpcc7942_0699
SYNPCC7942_RS03590,Synpcc7942_0700
SYNPCC7942_RS03595,Synpcc7942_0701
SYNPCC7942_RS03600,Synpcc7942_0702
SYNPCC7942_RS03605,Synpcc7942_0703
SYNPCC7942_RS03610,Synpcc7942_0704
SYNPCC7942_RS03615,Synpcc7942_0705
SYNPCC7942_RS03620,Synpcc7942_0706
SYNPCC7942_RS03625,Synpcc7942_0707
SYNPCC7942_RS03630,Synpcc7942_0708
SYNPCC7942_RS03635,Synpcc7942_0709
SYNPCC7942_RS03640,Synpcc7942_0710
SYNPCC7942_RS03645,Synpcc7942_0711
SYNPCC7942_RS03650,Synpcc7942_0712
SYNPCC7942_RS03655,Synpcc7942_0713
SYNPCC7942_RS03660,Synpcc7942_0714
SYNPCC7942_RS03670,Synpcc7942_0715
SYNPCC7942_RS03680,Synpcc7942_0716
SYNPCC7942_RS03685,
SYNPCC7942_RS03695,Synpcc7942_0717
SYNPCC7942_RS03700,Synpcc7942_0718
SYNPCC7942_RS03705,Synpcc7942_0719
SYNPCC7942_RS03710,
SYNPCC7942_RS03715,Synpcc7942_0720
SYNPCC7942_RS03720,
SYNPCC7942_RS03725,Synpcc7942_0721
SYNPCC7942_RS03730,Synpcc7942_0722
SYNPCC7942_RS03735,
SYNPCC7942_RS03745,Synpcc7942_0724
SYNPCC7942_RS03750,Synpcc7942_0725
SYNPCC7942_RS03755,Synpcc7942_0726
SYNPCC7942_RS03760,Synpcc7942_0727
SYNPCC7942_RS03765,Synpcc7942_0728
SYNPCC7942_RS03770,Synpcc7942_0729
SYNPCC7942_RS03775,Synpcc7942_0730
SYNPCC7942_RS03780,Synpcc7942_0731
SYNPCC7942_RS03785,Synpcc7942_0732
SYNPCC7942_RS03790,Synpcc7942_0733
SYNPCC7942_RS03795,Synpcc7942_0734
SYNPCC7942_RS03800,Synpcc7942_0735
SYNPCC7942_RS03805,Synpcc7942_0736
SYNPCC7942_RS03810,Synpcc7942_0737
SYNPCC7942_RS03815,
SYNPCC7942_RS13625,Synpcc7942_0738
SYNPCC7942_RS03825,
SYNPCC7942_RS03830,Synpcc7942_0739
SYNPCC7942_RS03835,Synpcc7942_0740
SYNPCC7942_RS03840,Synpcc7942_0741
SYNPCC7942_RS03845,Synpcc7942_0742
SYNPCC7942_RS03850,Synpcc7942_0743
SYNPCC7942_RS03855,Synpcc7942_0744
SYNPCC7942_RS03860,Synpcc7942_0745
SYNPCC7942_RS03865,Synpcc7942_0746
SYNPCC7942_RS03870,Synpcc7942_0747
SYNPCC7942_RS03875,Synpcc7942_0748
SYNPCC7942_RS03880,Synpcc7942_0749
SYNPCC7942_RS13935,
SYNPCC7942_RS03885,Synpcc7942_0750
SYNPCC7942_RS03890,Synpcc7942_0751
SYNPCC7942_RS03895,Synpcc7942_0752
SYNPCC7942_RS03900,Synpcc7942_0753
SYNPCC7942_RS03910,Synpcc7942_0755
SYNPCC7942_RS03915,
SYNPCC7942_RS13940,
SYNPCC7942_RS03920,Synpcc7942_0756
SYNPCC7942_RS03925,
SYNPCC7942_RS13690,Synpcc7942_0758
SYNPCC7942_RS03930,Synpcc7942_0759
SYNPCC7942_RS03935,Synpcc7942_0760
SYNPCC7942_RS03940,Synpcc7942_0761
SYNPCC7942_RS03950,Synpcc7942_0762
SYNPCC7942_RS03955,
SYNPCC7942_RS03960,Synpcc7942_0764
SYNPCC7942_RS13695,
SYNPCC7942_RS03965,
SYNPCC7942_RS03970,Synpcc7942_0766
SYNPCC7942_RS13700,
SYNPCC7942_RS03975,
SYNPCC7942_RS13950,
SYNPCC7942_RS13955,
SYNPCC7942_RS03985,Synpcc7942_0768
SYNPCC7942_RS03990,Synpcc7942_0769
SYNPCC7942_RS03995,Synpcc7942_0770
SYNPCC7942_RS04000,Synpcc7942_0771
SYNPCC7942_RS04005,Synpcc7942_0772
SYNPCC7942_RS04010,Synpcc7942_0773
SYNPCC7942_RS04015,Synpcc7942_0774
SYNPCC7942_RS04020,Synpcc7942_0775
SYNPCC7942_RS04025,Synpcc7942_0776
SYNPCC7942_RS04030,Synpcc7942_0777
SYNPCC7942_RS04035,Synpcc7942_0778
SYNPCC7942_RS04040,Synpcc7942_0779
SYNPCC7942_RS04045,Synpcc7942_0780
SYNPCC7942_RS04050,Synpcc7942_0781
SYNPCC7942_RS04055,Synpcc7942_0782
SYNPCC7942_RS04060,Synpcc7942_0783
SYNPCC7942_RS13710,Synpcc7942_0784
SYNPCC7942_RS04065,Synpcc7942_0785
SYNPCC7942_RS04070,Synpcc7942_0786
SYNPCC7942_RS04075,Synpcc7942_0787
SYNPCC7942_RS04080,Synpcc7942_0788
SYNPCC7942_RS04085,Synpcc7942_0789
SYNPCC7942_RS04090,Synpcc7942_0790
SYNPCC7942_RS04095,Synpcc7942_0791
SYNPCC7942_RS04100,Synpcc7942_0792
SYNPCC7942_RS04105,Synpcc7942_0793
SYNPCC7942_RS04110,Synpcc7942_0794
SYNPCC7942_RS04115,Synpcc7942_0795
SYNPCC7942_RS04120,Synpcc7942_0796
SYNPCC7942_RS04125,Synpcc7942_0797
SYNPCC7942_RS04130,Synpcc7942_0798
SYNPCC7942_RS04135,Synpcc7942_0799
SYNPCC7942_RS04140,Synpcc7942_0800
SYNPCC7942_RS04145,Synpcc7942_0801
SYNPCC7942_RS04150,Synpcc7942_0802
SYNPCC7942_RS04155,Synpcc7942_0803
SYNPCC7942_RS04160,Synpcc7942_0804
SYNPCC7942_RS04165,Synpcc7942_0805
SYNPCC7942_RS04170,Synpcc7942_0806
SYNPCC7942_RS04175,Synpcc7942_0807
SYNPCC7942_RS04180,Synpcc7942_0808
SYNPCC7942_RS04185,Synpcc7942_0809
SYNPCC7942_RS04190,Synpcc7942_0810
SYNPCC7942_RS04195,Synpcc7942_0811
SYNPCC7942_RS04200,Synpcc7942_0812
SYNPCC7942_RS04205,Synpcc7942_0813
SYNPCC7942_RS04210,Synpcc7942_0814
SYNPCC7942_RS04215,Synpcc7942_0815
SYNPCC7942_RS04220,Synpcc7942_0816
SYNPCC7942_RS04225,Synpcc7942_0817
SYNPCC7942_RS04230,Synpcc7942_0818
SYNPCC7942_RS04235,Synpcc7942_0819
SYNPCC7942_RS04240,Synpcc7942_0820
SYNPCC7942_RS04245,Synpcc7942_0821
SYNPCC7942_RS04250,Synpcc7942_0822
SYNPCC7942_RS04255,Synpcc7942_0823
SYNPCC7942_RS04260,Synpcc7942_0824
SYNPCC7942_RS04265,Synpcc7942_0825
SYNPCC7942_RS04270,Synpcc7942_0826
SYNPCC7942_RS04275,Synpcc7942_0827
SYNPCC7942_RS04280,Synpcc7942_0828
SYNPCC7942_RS04285,Synpcc7942_0829
SYNPCC7942_RS04290,Synpcc7942_0830
SYNPCC7942_RS04295,Synpcc7942_0831
SYNPCC7942_RS04300,
SYNPCC7942_RS04310,Synpcc7942_0833
SYNPCC7942_RS04315,Synpcc7942_0834
SYNPCC7942_RS04320,Synpcc7942_0835
SYNPCC7942_RS04325,Synpcc7942_0836
SYNPCC7942_RS04330,Synpcc7942_0837
SYNPCC7942_RS04335,Synpcc7942_0838
SYNPCC7942_RS04340,Synpcc7942_0839
SYNPCC7942_RS04345,Synpcc7942_0840
SYNPCC7942_RS04350,Synpcc7942_0841
SYNPCC7942_RS04355,Synpcc7942_0842
SYNPCC7942_RS04360,Synpcc7942_0843
SYNPCC7942_RS04365,Synpcc7942_0844
SYNPCC7942_RS04370,Synpcc7942_0846
SYNPCC7942_RS04375,Synpcc7942_0847
SYNPCC7942_RS04380,Synpcc7942_0848
SYNPCC7942_RS13960,
SYNPCC7942_RS04385,Synpcc7942_0849
SYNPCC7942_RS04390,Synpcc7942_0850
SYNPCC7942_RS04395,Synpcc7942_0851
SYNPCC7942_RS13715,
SYNPCC7942_RS04400,Synpcc7942_0853
SYNPCC7942_RS04405,Synpcc7942_0854
SYNPCC7942_RS13965,
SYNPCC7942_RS04410,Synpcc7942_0855
SYNPCC7942_RS04415,Synpcc7942_0856
SYNPCC7942_RS04420,Synpcc7942_0857
SYNPCC7942_RS04425,Synpcc7942_0858
SYNPCC7942_RS04430,Synpcc7942_0859
SYNPCC7942_RS04435,Synpcc7942_0860
SYNPCC7942_RS04440,Synpcc7942_0861
SYNPCC7942_RS04445,Synpcc7942_0862
SYNPCC7942_RS04450,Synpcc7942_0863
SYNPCC7942_RS04455,Synpcc7942_0864
SYNPCC7942_RS04460,Synpcc7942_0865
SYNPCC7942_RS04465,Synpcc7942_0866
SYNPCC7942_RS04470,Synpcc7942_0867
SYNPCC7942_RS04475,Synpcc7942_0868
SYNPCC7942_RS04480,Synpcc7942_0869
SYNPCC7942_RS04485,Synpcc7942_0870
SYNPCC7942_RS04490,Synpcc7942_0871
SYNPCC7942_RS04495,Synpcc7942_0872
SYNPCC7942_RS04500,Synpcc7942_0873
SYNPCC7942_RS04505,Synpcc7942_0874
SYNPCC7942_RS04510,Synpcc7942_0875
SYNPCC7942_RS04515,Synpcc7942_0876
SYNPCC7942_RS04520,Synpcc7942_0877
SYNPCC7942_RS04525,Synpcc7942_0878
SYNPCC7942_RS04530,Synpcc7942_0879
SYNPCC7942_RS04535,Synpcc7942_0880
SYNPCC7942_RS04540,Synpcc7942_0881
SYNPCC7942_RS04545,Synpcc7942_0882
SYNPCC7942_RS04550,Synpcc7942_0883
SYNPCC7942_RS04555,Synpcc7942_0884
SYNPCC7942_RS04560,Synpcc7942_0885
SYNPCC7942_RS04565,Synpcc7942_0886
SYNPCC7942_RS04570,Synpcc7942_0887
SYNPCC7942_RS04575,Synpcc7942_0888
SYNPCC7942_RS04580,Synpcc7942_0889
SYNPCC7942_RS04585,Synpcc7942_0890
SYNPCC7942_RS04590,Synpcc7942_0891
SYNPCC7942_RS04595,Synpcc7942_0892
SYNPCC7942_RS04600,Synpcc7942_0893
SYNPCC7942_RS04605,Synpcc7942_0894
SYNPCC7942_RS04610,Synpcc7942_0895
SYNPCC7942_RS04615,Synpcc7942_0896
SYNPCC7942_RS04620,Synpcc7942_0897
SYNPCC7942_RS04625,Synpcc7942_0898
SYNPCC7942_RS04635,Synpcc7942_0899
SYNPCC7942_RS04640,Synpcc7942_0900
SYNPCC7942_RS04645,Synpcc7942_0901
SYNPCC7942_RS04650,Synpcc7942_0902
SYNPCC7942_RS04655,Synpcc7942_0903
SYNPCC7942_RS04660,Synpcc7942_0904
SYNPCC7942_RS13970,Synpcc7942_0905
SYNPCC7942_RS13975,Synpcc7942_0906
SYNPCC7942_RS13980,Synpcc7942_0907
SYNPCC7942_RS04670,Synpcc7942_0908
SYNPCC7942_RS04675,Synpcc7942_0909
SYNPCC7942_RS04680,Synpcc7942_0910
SYNPCC7942_RS04685,Synpcc7942_0911
SYNPCC7942_RS04690,Synpcc7942_0912
SYNPCC7942_RS04695,Synpcc7942_0913
SYNPCC7942_RS04700,Synpcc7942_0914
SYNPCC7942_RS04705,Synpcc7942_0915
SYNPCC7942_RS13870,Synpcc7942_0916
SYNPCC7942_RS04720,Synpcc7942_0917
SYNPCC7942_RS04725,Synpcc7942_0918
SYNPCC7942_RS04730,Synpcc7942_0919
SYNPCC7942_RS04735,Synpcc7942_0920
SYNPCC7942_RS04740,Synpcc7942_0921
SYNPCC7942_RS04745,Synpcc7942_0922
SYNPCC7942_RS04750,Synpcc7942_0923
SYNPCC7942_RS04755,Synpcc7942_0924
SYNPCC7942_RS04760,Synpcc7942_0925
SYNPCC7942_RS04765,Synpcc7942_0926
SYNPCC7942_RS04770,Synpcc7942_0927
SYNPCC7942_RS04775,Synpcc7942_0928
SYNPCC7942_RS04780,Synpcc7942_0929
SYNPCC7942_RS04785,Synpcc7942_0930
SYNPCC7942_RS04790,Synpcc7942_0931
SYNPCC7942_RS04795,Synpcc7942_0932
SYNPCC7942_RS04800,Synpcc7942_0933
SYNPCC7942_RS04805,Synpcc7942_0934
SYNPCC7942_RS04810,Synpcc7942_0935
SYNPCC7942_RS04815,Synpcc7942_0936
SYNPCC7942_RS04820,Synpcc7942_0937
SYNPCC7942_RS04825,Synpcc7942_0938
SYNPCC7942_RS04830,Synpcc7942_0939
SYNPCC7942_RS04835,Synpcc7942_0940
SYNPCC7942_RS04840,Synpcc7942_0941
SYNPCC7942_RS04845,Synpcc7942_0942
SYNPCC7942_RS04850,Synpcc7942_0943
SYNPCC7942_RS04855,Synpcc7942_0944
SYNPCC7942_RS04860,Synpcc7942_0945
SYNPCC7942_RS04865,Synpcc7942_0946
SYNPCC7942_RS04870,Synpcc7942_0947
SYNPCC7942_RS04875,Synpcc7942_0948
SYNPCC7942_RS04880,Synpcc7942_0949
SYNPCC7942_RS04885,Synpcc7942_0950
SYNPCC7942_RS04890,Synpcc7942_0951
SYNPCC7942_RS04895,Synpcc7942_0952
SYNPCC7942_RS04900,Synpcc7942_0953
SYNPCC7942_RS04905,Synpcc7942_0954
SYNPCC7942_RS04910,Synpcc7942_0955
SYNPCC7942_RS04915,Synpcc7942_0956
SYNPCC7942_RS04920,Synpcc7942_0957
SYNPCC7942_RS04925,Synpcc7942_0958
SYNPCC7942_RS04930,Synpcc7942_0959
SYNPCC7942_RS04935,Synpcc7942_0960
SYNPCC7942_RS04940,Synpcc7942_0961
SYNPCC7942_RS04945,Synpcc7942_0962
SYNPCC7942_RS04950,Synpcc7942_0963
SYNPCC7942_RS04955,Synpcc7942_0964
SYNPCC7942_RS04960,Synpcc7942_0965
SYNPCC7942_RS04965,Synpcc7942_0966
SYNPCC7942_RS04970,Synpcc7942_0967
SYNPCC7942_RS04975,Synpcc7942_0968
SYNPCC7942_RS04980,Synpcc7942_0969
SYNPCC7942_RS04985,Synpcc7942_0970
SYNPCC7942_RS04990,Synpcc7942_0971
SYNPCC7942_RS04995,Synpcc7942_0972
SYNPCC7942_RS05000,
SYNPCC7942_RS05005,Synpcc7942_0975
SYNPCC7942_RS05010,Synpcc7942_0976
SYNPCC7942_RS05015,Synpcc7942_0977
SYNPCC7942_RS05020,Synpcc7942_0978
SYNPCC7942_RS05025,
SYNPCC7942_RS05030,Synpcc7942_0979
SYNPCC7942_RS05035,Synpcc7942_0980
SYNPCC7942_RS05040,Synpcc7942_0981
SYNPCC7942_RS05045,Synpcc7942_0982
SYNPCC7942_RS05050,Synpcc7942_0983
SYNPCC7942_RS05055,Synpcc7942_0984
SYNPCC7942_RS05060,Synpcc7942_0985
SYNPCC7942_RS05065,Synpcc7942_0986
SYNPCC7942_RS05070,Synpcc7942_0987
SYNPCC7942_RS05075,Synpcc7942_0988
SYNPCC7942_RS05080,Synpcc7942_0989
SYNPCC7942_RS13875,Synpcc7942_0990
SYNPCC7942_RS05090,Synpcc7942_0991
SYNPCC7942_RS05095,Synpcc7942_0992
SYNPCC7942_RS05100,Synpcc7942_0993
SYNPCC7942_RS05105,Synpcc7942_0994
SYNPCC7942_RS05110,Synpcc7942_0995
SYNPCC7942_RS05115,Synpcc7942_0996
SYNPCC7942_RS05120,Synpcc7942_0997
SYNPCC7942_RS05125,Synpcc7942_0998
SYNPCC7942_RS13725,Synpcc7942_0999
SYNPCC7942_RS05130,Synpcc7942_1000
SYNPCC7942_RS05135,Synpcc7942_1001
SYNPCC7942_RS05140,Synpcc7942_1002
SYNPCC7942_RS05145,Synpcc7942_1003
SYNPCC7942_RS05150,Synpcc7942_1004
SYNPCC7942_RS05155,Synpcc7942_1005
SYNPCC7942_RS05160,Synpcc7942_1006
SYNPCC7942_RS05170,Synpcc7942_1007
SYNPCC7942_RS05175,Synpcc7942_1008
SYNPCC7942_RS05180,
SYNPCC7942_RS05185,Synpcc7942_1010
SYNPCC7942_RS05190,Synpcc7942_1011
SYNPCC7942_RS05195,Synpcc7942_1012
SYNPCC7942_RS05205,Synpcc7942_1013
SYNPCC7942_RS05210,Synpcc7942_1014
SYNPCC7942_RS05215,Synpcc7942_1015
SYNPCC7942_RS05220,Synpcc7942_1016
SYNPCC7942_RS05230,Synpcc7942_1017
SYNPCC7942_RS05235,Synpcc7942_1018
SYNPCC7942_RS05240,Synpcc7942_1019
SYNPCC7942_RS05245,Synpcc7942_1020
SYNPCC7942_RS05250,Synpcc7942_1021
SYNPCC7942_RS05255,Synpcc7942_1022
SYNPCC7942_RS13730,Synpcc7942_1023
SYNPCC7942_RS05260,Synpcc7942_1024
SYNPCC7942_RS05265,Synpcc7942_1025
SYNPCC7942_RS05270,Synpcc7942_1026
SYNPCC7942_RS05275,Synpcc7942_1027
